Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
КСМ,фабрика мебели,Мебель на заказ; Мебельные фабрики; Офисная мебель; Мебель для кухни; Корпусная мебель; Мебель для учебных учреждений; Мебель для культурно-досуговых учреждений; Мебель для общественного питания; Торгово-выставочное оборудование; Мебельные фасады; Художественные товары; Мягкая мебель,"Зиповская улица, 5 лит Х",1 этаж,350010,,Центральный округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+03:00,4.5,6,88612050077,,,,,http://kcm.su,,,,https://vk.com/kcm_mebel,https://wa.me/79615819977,,,,,,https://t.me/+79615819977,,,,45.063345,38.991812,https://2gis.com/firm/70000001038928716,branch
Кухни Лайт,,Мебель на заказ; Мебельные фасады; Мебель для кухни; Корпусная мебель; Мебель для ванных комнат,"Сормовская улица, 2а",1 этаж,350018,,Карасунский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+03:00,1.0,1,88612060530,,,,,http://krasnodar.kuhni-lite.ru,,,,https://vk.com/lite.kuhni.krasnodar,,,,,,,,,,,45.022418,39.052741,https://2gis.com/firm/70000001054430866,branch
Кухня своими руками,мебельный магазин,Мебель на заказ; Мебель для кухни; Мебельные фасады,"Новороссийская улица, 172",1 этаж,350059,РМЗ м-н,Карасунский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 10:00-17:00,+03:00,4.2,42,89280412403,89280398519,,ksr@yumacom.ru,,http://kitchen-sam.ru,,,,https://vk.com/kitchensam,https://wa.me/79280398519,https://wa.me/79280412403,,,,,https://t.me/dIk4FW0wCV1hMGFi,,,,45.031486,39.022907,https://2gis.com/firm/70000001023895386,branch
Метражи,проектно-строительная компания,Мебель на заказ; Ремонт помещений; Электромонтажные работы; Дизайн интерьеров; Ремонт зданий; Фасадные работы,,,,,,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00 (по предварительному звонку),+03:00,5.0,47,89892333221,,,metrazhikrd@mail.ru,,http://www.metrazhikrd.ru,,,,,https://wa.me/79892333221,,,,,,https://t.me/+79892333221,,,,,,https://2gis.com/firm/70000001102578518,branch
Поставец,производственная компания,Мебель на заказ; Корпусная мебель; Мебельные фасады,"Майский проезд, 14/4 к4",,350039,,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00 (по предварительному звонку),+03:00,,,89604941908,,,,,http://specwood.site,,,,,https://wa.me/79604941908,,,,,,,,,,45.061182,38.899108,https://2gis.com/firm/70000001033746921,branch
Сидэя-Краснодар,торгово-производственная компания,Мебель на заказ; Мебельные фасады; Корпусная мебель; Мебель для кухни,"Ростовское шоссе, 26/1 ст3",2 этаж,350072,им. Петра Метальникова м-н,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+03:00,,,88612032252,89180746463,89180746465,,,http://sidak.ru,,,,,https://wa.me/79180746463,https://wa.me/79180746465,,,,,,,,,45.092428,38.994546,https://2gis.com/firm/3237490513519341,branch
Elwood,склад-магазин мебельных щитов и комплектующих для лестниц,Мебель на заказ; Облицовочные материалы для мебели; Интерьерные лестницы; Мебельные фасады; Мебель для кухни; Деревообработка; Корпусная мебель,"Брянская улица, 336 ст2",,660048,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00,+07:00,5.0,5,89994427572,,,,,http://ellwd.ru,,,,https://vk.com/elwoodkrsk,https://wa.me/79994427572,,,,,,https://t.me/+79994427572,,,,56.040847,92.841141,https://2gis.com/firm/70000001055110927,branch
Gloss,студия кухни,Мебель на заказ; Изделия из камня для помещений; Мебель для кухни; Дизайн интерьеров; Мебельные фасады,"улица Петра Подзолкова, 4",1 этаж,660020,,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+07:00,4.5,13,89509643778,89029171166,,,,http://studiogloss.ru,,,,https://vk.com/kuhni_v_krasnoyarske,https://wa.me/79029171166,https://wa.me/79509643778,,viber://chat/?number=79029171166,,,https://t.me/+79029171166,,,,56.05312,92.887691,https://2gis.com/firm/70000001026928767,branch
Good Chef,центр мебели на заказ,Мебель на заказ; Мебель для кухни; Мебельные фасады,"улица Шахтёров, 65",2 этаж,660020,Покровский м-н,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+07:00,4.8,29,89230170798,,,,,http://progoodchef.ru,,,,https://vk.com/progoodchef,https://wa.me/79069725339,,,,,,https://t.me/+79069725339,,,,56.044412,92.889712,https://2gis.com/firm/70000001100843105,branch
Ivego,компания мебельных фасадов,Мебель на заказ; Мебельные фасады; Фасадные материалы и конструкции,"проспект им. газеты Красноярский Рабочий, 27 ст4",33 помещение; 1 этаж,660037,,Ленинский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+07:00,5.0,6,89832013030,,,,,http://ivego.group,,,,https://vk.com/club196856847,https://wa.me/79832013030,,,,,,,,,,56.017123,93.007488,https://2gis.com/firm/70000001051317197,branch
M-кит,компания по производству мебели,Мебель на заказ; Мебельная фурнитура; Корпусная мебель; Мебельные фасады; Мебель для кухни; Матрасы,"улица Молокова, 39",1 этаж,660135,Взлётка м-н,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-18:00,+07:00,4.7,818,83912192714,,,,,http://www.м-кит.рф,,,,https://vk.com/vk.mkit,,,,,,,,,,,56.035886,92.895382,https://2gis.com/firm/70000001030698796,branch
TYWood,столярная мастерская,Мебель на заказ; Деревообработка; Погонажные изделия; Художественные мастерские; Товары для бань и саун; Мебельные фасады; Мебель для кухни; Офисная мебель; Ремонт мебели; Детская мебель,"Базайская улица, 365/26",,660006,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:30-18:30; Вт: 09:30-18:30; Ср: 09:30-18:30; Чт: 09:30-18:30; Пт: 09:30-18:30; Сб: 09:30-18:30; Вс: 09:30-18:30 (по предварительной записи: сб-вс),+07:00,5.0,8,89330276186,,,,,http://tywood.ru,,,,,,,,,,,https://t.me/tywood24,,,,55.940786,92.847935,https://2gis.com/firm/70000001093369328,branch
Аккера,ателье мебельных фасадов,Мебель на заказ; Мебельные фасады; Мебель для кухни; Мебель для ванных комнат,"улица Кутузова, 1 ст26",,660050,,Кировский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+07:00,4.9,39,83912582868,89138372868,,,,http://akkera.pro,http://t.me/akkera_mdf,,,https://vk.com/mdf.fasad,,,,,,,https://t.me/+79138372868,,,,55.996172,92.981108,https://2gis.com/firm/985691699816907,branch
Аллион,мебельная компания,"Мебель на заказ; Мебельные фасады; Корпусная мебель; Мебель для кухни; ЛДСП, ДВПО, МДФ","улица Айвазовского, 16 ст10",,660031,,Ленинский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+07:00,4.2,14,83912726530 (офис),89232879082,83912721973,,,http://www.allion24.ru,,,,https://vk.com/allionmebel,https://wa.me/79676126530,,,viber://chat/?number=79676126530,,,,,,,56.024429,93.045145,https://2gis.com/firm/985690699710499,branch
Белорусские кухни №1,салон кухонной мебели,Мебель на заказ; Мебельные магазины; Мебель для кухни; Мебельные фасады; Корпусная мебель,"улица Шумяцкого, 2а",цокольный этаж,660127,Северный м-н,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 11:00-17:00; Вс: 11:00-17:00 (по предварительному звонку),+07:00,3.7,3,83912936292 (круглосуточный),83912314304 (круглосуточный),89029236292 (дизайнерский отдел),,,http://krasnoyarsk.zov.ru,,,,https://vk.com/zov_krsk,https://wa.me/79130314304,,,,,,,,,,56.065597,92.938675,https://2gis.com/firm/985690700649786,branch
КафельГранит124,компания по изготовлению изделий из керамогранита,Мебель на заказ; Керамогранит; Изделия из камня для помещений; Керамическая плитка; Гидроабразивная резка неметаллов; Фасадные материалы и конструкции; Мебель для ванных комнат; Мебель для кухни; Сантехника; Фрезеровка неметаллов,"улица 26 Бакинских Комиссаров, 8 ст81",,660023,,Ленинский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+07:00,4.2,15,89029786302,,,,,http://кафельгранит124.рф/,,,https://twitter.com/KafelGranit124,https://vk.com/kafelgranit124,https://wa.me/79029786302,,,,,,https://t.me/+79029786302,,,,56.034181,93.037969,https://2gis.com/firm/70000001063166143,branch
Кухни адм,мебельная фабрика,Мебель на заказ; Мебель для кухни; Мебельные фасады; Дизайн интерьеров; Детская мебель; Корпусная мебель; Мебель для ванных комнат; Мягкая мебель; Офисная мебель,"проспект им. газеты Красноярский Рабочий, 30а ст4",1 этаж,660004,,Ленинский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,"Пн: 09:00-12:00, 13:00-18:00; Вт: 09:00-12:00, 13:00-18:00; Ср: 09:00-12:00, 13:00-18:00; Чт: 09:00-12:00, 13:00-18:00; Пт: 09:00-12:00, 13:00-18:00",+07:00,4.6,17,83912191490,,,,,http://admkitchen.ru/,,,,https://vk.com/club39242783,,,,,,,,,,,56.021733,93.004225,https://2gis.com/firm/70000001031661214,branch
Кухни Место,мебельная компания,Мебель на заказ; Мебель для кухни; Корпусная мебель; Мебельные фасады; Детская мебель,"Навигационная улица, 4",1 этаж,660064,Южный Берег м-н,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00,+07:00,4.4,155,83912220000 (многоканальный: вт-сб 10:00-19:00),,,manager_mesto@mail.ru,,http://место.рф,,,,https://vk.com/kuhni_mesto_krsk,,,,,,,https://t.me/mesto124_bot,,,https://youtube.com/channel/UCwQQ0Ac552Q3S6LJj-a1scg,55.99705,92.89793,https://2gis.com/firm/70000001017323787,branch
М-кит,производство мебели,Мебель на заказ; Корпусная мебель; Распиловка древесины; Мебельные фасады; Мебель для кухни; Матрасы,"проспект им. газеты Красноярский Рабочий, 160/46",1 этаж,660010,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 10:00-18:00; Вс: 10:00-17:00,+07:00,4.7,740,83912191939,,,,,http://м-кит.рф,,,,https://vk.com/vk.mkit,https://wa.me/79029527996,,,,,,https://t.me/M_kit_Online_bot,,,https://youtube.com/channel/UC2DanvpWualTHCUqV4_1phw,55.997555,92.906787,https://2gis.com/firm/70000001030698645,branch
Мебель без границ,производстенный склад,Мебель на заказ; Мебель для кухни; Мебельные фасады,"улица 60 лет Октября, 2 ст79",,660006,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-15:00; Вс: 09:00-15:00,+07:00,,,83912287033,89233541377,,,,http://mbg24.ru,,,,https://vk.com/bezgranic24,,,,,,,,,,,55.976649,92.824843,https://2gis.com/firm/70000001113655097,branch
Мебель М,компания по производству мебели на заказ по индивидуальным размерам,"Мебель на заказ; Корпусная мебель; ЛДСП, ДВПО, МДФ; Мебельные фасады; ДСП, ДВП, фанера; Мебель из стекла; Мебель для учебных учреждений; Мебель для салонов красоты; Медицинская и лабораторная мебель; Мебель для общественного питания; Мебель для кухни; Офисная мебель; Мебель для ванных комнат; Детская мебель; Изделия из камня для помещений","Брянская улица, 65",,660060,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+07:00,4.9,57,89333231311,,,,,http://mebel-m.pro,,,,https://vk.com/mebel_m_pro,https://wa.me/79333231311,,,,,,https://t.me/+79333231311,,,https://youtube.com/@mebel_m,56.019408,92.859314,https://2gis.com/firm/70000001074651775,branch
Релайн,,Мебель на заказ; Изделия из камня для помещений; Торгово-выставочное оборудование; Стеллажи и витрины; Офисная мебель; Корпусная мебель; Мебельные фасады,"улица Калинина, 175к",,660061,Западный м-н,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+07:00,5.0,3,83912758600,,,,,http://www.reline24.ru,,,,https://vk.com/megagroup_ru,,,,,,,,,,,56.054454,92.728848,https://2gis.com/firm/985690699489815,branch
Столярная мастерская,,Мебель на заказ; Мебель для кухни; Детская мебель; Интерьерные лестницы; Мебельные фасады,"улица Тургенева, 1а",,660052,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+07:00,,,83912597487,,,,,http://masterskaja-mebeli.ru,,,,,https://wa.me/79138376487,,,viber://chat/?number=79138376487,,,,,,,55.975571,92.92827,https://2gis.com/firm/985690700143582,branch
Столярный цех,,Мебель на заказ; Распиловка древесины; Мебельные фасады; Садово-парковая мебель; Фрезеровка неметаллов; Интерьерные лестницы,"Дудинская улица, 16 ст1",,660020,,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+07:00,,,89538425956,,,,,http://inhomefactory.ru/,,,,,https://wa.me/79538425950,https://wa.me/79538425956,,,,,,,,,56.027101,92.891633,https://2gis.com/firm/70000001109590889,branch
Уют,столярная мастерская,Мебель на заказ; Межкомнатные двери; Интерьерные лестницы; Мебельные фасады; Мебель для кухни,"Семафорная улица, 477",,660037,,Ленинский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-15:00,+07:00,1.0,1,83912311587,,,,,http://папа-карло24.рф,,,,,https://wa.me/79130311587,,,viber://chat/?number=79130311587,,,https://t.me/+79130311587,,,,56.009607,92.998883,https://2gis.com/firm/70000001006357092,branch
Фасад-мебель,производственная фирма,Мебель на заказ; Мебельные фасады; Мебель для кухни; Корпусная мебель; Стекло и зеркала; Мебельная фурнитура; Изделия из камня для помещений; Мебель для ванных комнат,"улица Глинки, 37к",1 этаж,660031,,Ленинский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+07:00,4.1,55,83912573047,,,,,http://фасад-мебель.рф,,,,https://vk.com/fasadmebel,https://wa.me/79676087026,,,,,,,,,,56.01655,93.033521,https://2gis.com/firm/985690699588361,branch
Шатура,мебельный салон по продаже корпусной мебели и кухонь,Мебель на заказ; Мебельные магазины; Корпусная мебель; Мебель для кухни; Мягкая мебель; Детская мебель; Стеллажи и витрины; Офисная мебель; Мебельные фасады; Матрасы,"улица 9 Мая, 79",1 этаж,660077,Слобода Весны м-н,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,4.7,67,89131801208,,,,,http://t.me/mk_shatura,http://krasnojarsk.shatura.com,,,https://vk.com/shatura_com,https://wa.me/79131801208,,,,,,,,,https://youtube.com/@shatura_com,56.048856,92.897054,https://2gis.com/firm/70000001020945915,branch
Эко МаКс,компания по производству мебели и предметов интерьера из массива дерева,Мебель на заказ; Деревообработка; Детское игровое оборудование; Багетные мастерские; Мебельные фасады; Детская мебель; Мебель для ванных комнат; Корпусная мебель; Мебель для кухни; Ремонт мебели; Погонажные изделия,"Кардачинская улица, 30",1 этаж,660131,,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+07:00,5.0,4,89130330424,,,,,http://vk.link/eko_makc,,,,https://vk.com/eko_makc,https://wa.me/79130330424,,,,,,https://t.me/eko_makc,,,,56.066615,92.95997,https://2gis.com/firm/70000001050199241,branch
Ada-m,офис,Мебель на заказ; Мебель для кухни; Корпусная мебель; Детская мебель; Мебель для учебных учреждений; Мебель для ванных комнат; Мебельные фасады; Стеновые панели,"улица Дунаевского, 16",1 этаж,630027,,Калининский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 11:00-16:00 (по предварительной записи),+07:00,5.0,15,89231734243,,,,,http://www.ada-m.com,,,,https://vk.com/tkadam,,,,,,,,,,,55.102058,82.97825,https://2gis.com/firm/70000001113211007,branch
ArtInHome,компания по производству кухонь на заказ,Мебель на заказ; Мебель для кухни; Детская мебель; Мебельные фасады,"Гусинобродское шоссе, 20",81 бокс; -1 этаж,630039,,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,"Пн: 09:00-12:00, 13:00-18:00; Вт: 09:00-12:00, 13:00-18:00; Ср: 09:00-12:00, 13:00-18:00; Чт: 09:00-12:00, 13:00-18:00; Пт: 09:00-12:00, 13:00-18:00",+07:00,,,89515884435,,,,,http://artinhomeshop.ru,,,,https://vk.com/grigoriev.mebel,https://wa.me/79515884435,https://wa.me/79537726180,,,,,,,,,55.035369,83.003042,https://2gis.com/firm/70000001105272227,branch
Blumberg,мебельная фабрика,Мебель на заказ; Корпусная мебель; Детская мебель; Офисная мебель; Мебель для кухни; Мебель для ванных комнат; Торгово-выставочное оборудование; Стеллажи и витрины; Мебельные фасады; Изделия из камня для помещений; Медицинская и лабораторная мебель; Мебель для учебных учреждений; Мебель для салонов красоты; Мебель для культурно-досуговых учреждений,"улица Фрунзе, 20",1 этаж; домофон 9260,630099,,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00; Вс: 11:00-19:00 (по предварительной записи),+07:00,4.8,38,89529339894,83832128338,89538887372,bloomberg54@mail.ru,,http://bloomberg54.ru,http://blumberg54-mebel.ru/,,,https://vk.com/public188084930,https://wa.me/79513656465,https://wa.me/79529339894,,,,,https://t.me/+79513656465,,,,55.036851,82.930337,https://2gis.com/firm/70000001039358833,branch
Mayer Haus,мебельная фабрика,Мебель на заказ; Мебель для кухни; Мебель для ванных комнат; Дизайн интерьеров; Мебельные фасады,"улица Крылова, 36",,630005,Фрунзенский м-н,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00,+07:00,5.0,1,89130649359,,,mail@mebelngs.ru,,http://www.mayerhaus.ru,http://max.ru/id5408275434_biz,,,https://vk.com/mebelngs,https://wa.me/79130060215,,,,,,https://t.me/unicorn_mebel,,,https://youtube.com/channel/UC9M--kEeUhk9jhuDMcj_QyQ,55.041175,82.930287,https://2gis.com/firm/70000001115536053,branch
Mayer Haus,мебельная фабрика,Мебель на заказ; Дизайн интерьеров; Офисная мебель; Детская мебель; Корпусная мебель; Мебель для кухни; Матрасы; Мебель для ванных комнат; Мебельные фасады,"улица Владимира Заровного, 8",1 этаж,630083,,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-17:00 (по предварительной записи),+07:00,4.9,75,89039000215,83832630215,,mail@mebelngs.ru,,http://www.mayerhaus.ru,http://max.ru/id5408275434_biz,,,https://vk.com/mebelngs,https://wa.me/79130060215,,,,,,https://t.me/mebel_unicorn,,,https://youtube.com/channel/UC9M--kEeUhk9jhuDMcj_QyQ,54.993689,82.964099,https://2gis.com/firm/70000001080889121,branch
Mayer Haus,мебельная фабрика,Мебель на заказ; Дизайн интерьеров; Офисная мебель; Детская мебель; Корпусная мебель; Мебель для кухни; Матрасы; Мебель для ванных комнат; Мебельные фасады,"Золотодолинская улица, 29",1 этаж,630090,Верхняя зона Академгородка м-н,Советский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-18:30; Вт: 10:00-18:30; Ср: 10:00-18:30; Чт: 10:00-18:30; Пт: 10:00-18:30; Сб: 10:00-17:00,+07:00,4.9,166,83832870215,89137267821,,mail@mebelngs.ru,,http://www.mayerhaus.ru,http://max.ru/id5408275434_biz,,,https://vk.com/mebelngs,https://wa.me/79137267821,,,,,,https://t.me/+79130060215,,,https://youtube.com/channel/UC9M--kEeUhk9jhuDMcj_QyQ,54.833485,83.104708,https://2gis.com/firm/141265770916151,branch
Redwood,столярно-производственная компания,Мебель на заказ; Корпусная мебель; Интерьерные лестницы; Мебель для кухни; Межкомнатные двери; Мебельные фасады; Деревообработка,"Тюменская улица, 8 к1",,630033,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+07:00,4.3,5,83833804083,89137576713,,,,http://redwood.one,,,,,https://wa.me/79137576713,,,,,,,,,,54.957562,82.952218,https://2gis.com/firm/70000001046455145,branch
Sfera,фабрика авторской мебели,Мебель на заказ; Мебельные фабрики; Мебель для кухни; Детская мебель; Корпусная мебель; Офисная мебель; Мебель для ванных комнат; Мягкая мебель; Мебельные фасады; Мебель для культурно-досуговых учреждений; Бытовая техника; Дизайн интерьеров; Интерьерные лестницы; Изделия из камня для помещений,"улица Богдана Хмельницкого, 98/10",28 сектор,630027,,Калининский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (отдел дизайна: по предварительной записи),+07:00,5.0,16,89069064989,,,,,http://t.me/mf_sfera,http://mfsf.ru,,,https://vk.com/mf_sfera,,,,,,,,,,https://youtube.com/@mf_sfera,55.094206,82.983723,https://2gis.com/firm/70000001046161306,branch
Sfera Art,,Мебель на заказ; Мебельные магазины; Мебельные фасады; Мебель из стекла; Мебель для ванных комнат; Мебель для кухни; Бытовая техника; Детская мебель; Корпусная мебель; Металлическая мебель; Офисная мебель; Перегородки; Посуда; Стеллажи и витрины; Стеновые панели,"Фабричная улица, 39",104 офис; 1 этаж,630007,,Железнодорожный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+07:00,5.0,4,89069064989,,,,,http://mfsf.ru,http://t.me/home_sfera,http://t.me/ssfeerra,,,https://wa.me/79069064989,,,,,,https://t.me/sferahome_com,https://t.me/+79069064989,,,55.020731,82.908566,https://2gis.com/firm/70000001100233865,branch
Shishkarёv Loft,мебельный магазин,Мебель на заказ; Мягкая мебель; Ремонт мебели; Металлическая мебель; Корпусная мебель; Деревообработка; Строительство дач и коттеджей; Строительство бань и саун; Фасадные работы; Кровельные работы,"Станционная улица, 60/1 к86",18 цех; 1 этаж,630096,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00,+07:00,5.0,3,89039993693,,,,,http://vk.link/shishkarevloft,http://Шишкарёв.рф,,,https://vk.com/shishkarevloft,https://wa.me/79039993693,,,,,,https://t.me/+79039993693,,,https://youtube.com/channel/UCIy1enykEqXbxIZ74JbgdqQ,55.000945,82.817728,https://2gis.com/firm/70000001066031955,branch
Ves&agk,мебельная мастерская,Мебель на заказ; Интерьерные лестницы; Ремонт мебели; Мебельные фасады; Корпусная мебель; Мебель для кухни; Офисная мебель,"улица Связистов, 12а к14",2 этаж,630120,Западный м-н,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00 (по предварительному звонку),+07:00,5.0,2,89231534321,,,,,http://vesagk.ru,http://t.me/ves_agk,,,,https://wa.me/79529096491,,,,,,,,,,54.986894,82.829632,https://2gis.com/firm/70000001082956846,branch
