Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
Мебелье,мебельная компания,Мебель на заказ; Мебель для кухни; Корпусная мебель; Мебель для ванных комнат,"Московская улица, 35",1 этаж,620014,Центр м-н,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00 (по предварительной записи),+05:00,4.7,20,89001971374,,,,,http://t.me/mebele66,,,,https://vk.com/mebele66,https://wa.me/79001971374,,,,,,,,,,56.835346,60.582654,https://2gis.com/firm/70000001069935001,branch
Мебельная компания,,Мебель на заказ; Корпусная мебель; Мебель для кухни; Детская мебель; Мебель для учебных учреждений,"Вайнера, 21",,623702,,,Березовский,Березовский муниципальный округ,Свердловская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,,,89058067977,,,,,,,,,,https://wa.me/79058067977,,,,,,,,,,56.895789,60.818063,https://2gis.com/firm/70000001089547337,branch
Мебельная лавка,,Мебель на заказ; Офисная мебель; Детская мебель; Корпусная мебель; Мебель для кухни,"Лукиных, 1/13",,620039,Уралмаш м-н,Орджоникидзевский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,3.5,8,89221089071,,,,,,,,,,https://wa.me/79221089071,,,,,,,,,,56.882014,60.572965,https://2gis.com/firm/1267165677118980,branch
Мебельная фабрика,,Мебель на заказ; Корпусная мебель,"улица Бахчиванджи, 2а/17",,620025,Кольцово м-н,Октябрьский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00,+05:00,,,89826269318,,,,,,,,,,,,,,,,,,,,56.757267,60.796887,https://2gis.com/firm/70000001113402142,branch
Мебельное решение для бизнеса,производственная компания,"Мебель на заказ; Распиловка древесины; Офисная мебель; Стеллажи и витрины; ЛДСП, ДВПО, МДФ; Торгово-выставочное оборудование","Выездной переулок, 3и",,620027,Вокзальный м-н,Железнодорожный район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00,+05:00,3.3,23,89623133363,,,,,,,,,https://vk.com/mrb_ekb,https://wa.me/79623133363,,,,,,,,,,56.857845,60.580382,https://2gis.com/firm/70000001065276532,branch
Мебельный рай,магазин,Мебель на заказ; Мягкая мебель; Корпусная мебель; Мебель для кухни; Матрасы,"улица Исакова, 7",1 этаж,623700,,,Березовский,Березовский муниципальный округ,Свердловская область,Россия,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-16:00; Вс: 11:00-16:00 (по предварительной записи),+05:00,3.4,5,89126663637,,,,,,,,,,,,,,,,,,,,56.909678,60.803807,https://2gis.com/firm/70000001028429040,branch
Мебельный рай,производственная компания,Мебель на заказ; Мебель для кухни; Корпусная мебель; Детская мебель; Офисная мебель,"Автомагистральная улица, 25 к2",,620141,Новая Сортировка м-н,Железнодорожный район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,5.0,4,89089016461,,,,,,,,,,https://wa.me/79089016461,,,,,,,,,,56.873185,60.559354,https://2gis.com/firm/1267166676215071,branch
Мебельный салон,,Мебель на заказ; Мебельные магазины; Корпусная мебель; Мягкая мебель; Детская мебель; Мебель для кухни,"улица Халтурина, 37/12","112-113, 121-123 павильон",620034,Заречный м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00; Сб: 10:00-17:00; Вс: 10:00-17:00,+05:00,3.8,3,89122229457 (единый номер: пн-вс 10:00-20:00),,,,,,,,,,,,,,,,,,,,56.849412,60.552188,https://2gis.com/firm/70000001022135630,branch
Мебелефф,мебельная компания,Мебель на заказ; Корпусная мебель,"улица Титова, 33а",1 этаж,620085,Вторчермет м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00 (по предварительному звонку),+05:00,,,89220309997,,,,,,,,,,https://wa.me/79220309997,,,,,,,,,,56.770399,60.614991,https://2gis.com/firm/70000001023177502,branch
Мебелит,,Мебель на заказ; Мебель для кухни; Корпусная мебель,"улица Аксакова, 83",,620010,Нижне-Исетский м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,1,89827087802,,,,,http://t.me/mebelit_ekb,,,,https://vk.com/mebelit96,,,,,,,,,,,56.746725,60.674266,https://2gis.com/firm/70000001097508241,branch
Мебель Вам,мебельный салон,Мебель на заказ; Офисная мебель; Детская мебель; Мебель для кухни; Матрасы,"улица Ватутина, 33",1 этаж,623104,Соцгород м-н,,Первоуральск,Первоуральск муниципальный округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00 (по предварительному звонку),+05:00,3.6,10,89090004453,83439271370,,,,,,,,https://vk.com/mebelvampvk,,,,,,,https://t.me/+79090004453,,,,56.901702,59.941519,https://2gis.com/firm/70000001007008279,branch
Мебель для всех,мебельный магазин,Мебель на заказ; Мебельные магазины; Мягкая мебель; Корпусная мебель; Мебель для кухни,"Строителей, 8а/24",,624071,,,Среднеуральск,Среднеуральск муниципальный округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,,,,,,,,,,,,,,,,,,,,,,,56.991073,60.478277,https://2gis.com/firm/70000001032690544,branch
Мир комфортной мебели,салон,Мебель на заказ; Мебельные магазины; Мягкая мебель,"40-летия Комсомола, 38л",А корпус; 2 этаж,620072,ЖБИ м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,3.0,2,89041632232,,,,,http://t.me/mebeldivan96,,,,,,,,,,,,,,,56.823823,60.702376,https://2gis.com/firm/70000001055045785,branch
Мир Уюта,фирма по изготовлению мебели на заказ,Мебель на заказ; Корпусная мебель; Мебель для кухни; Офисная мебель,"Тальковая улица, 2",,620904,Шабровский пос.,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,5.0,7,89920097418,,,,,,,,,https://vk.com/id859955487,https://wa.me/79920097418,,,,,,,,,,56.633243,60.604658,https://2gis.com/firm/70000001088728905,branch
Мк-Мебель,,Мебель на заказ; Мебель для кухни,"Лесозаводской переулок, 6/6",1 этаж,624070,,,Среднеуральск,Среднеуральск муниципальный округ,Свердловская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,,,89024401512,,,,,,,,,https://vk.com/club230278672,,,,,,,,,,,56.992874,60.457572,https://2gis.com/firm/70000001105138253,branch
МебельШик,,Мебель на заказ; Детская мебель; Мягкая мебель,"Центральная улица, 15",,624005,,,,Сысертский муниципальный округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,4.9,20,89326119896,,,,,http://t.me/mebel_shik_ekb,,,,https://vk.com/mebel_shik_ekb,https://wa.me/79326119896,,,,,,,,,,56.629837,60.816457,https://2gis.com/firm/70000001081883997,branch
Медема,мебельная фабрика,Мебель на заказ; Корпусная мебель; Мебель для кухни; Детская мебель; Торгово-выставочное оборудование; Офисная мебель; Медицинская и лабораторная мебель; Мебель для учебных учреждений; Мебель для общественного питания; Мебель для ванных комнат,"Ленинский посёлок, 27в",,623700,,,Березовский,Березовский муниципальный округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.5,46,89122408772,83433790583,89058055059,,,,,,,https://vk.com/medema,https://wa.me/79122408772,https://wa.me/79058055059,,,,,https://t.me/+79122408772,,,,56.932517,60.781372,https://2gis.com/firm/1267165676838170,branch
Медная гора,мебельная компания,Мебель на заказ; Мебельные фасады; Погонажные изделия; Стеновые панели; Корпусная мебель; Мебель для кухни,"Лукиных, 5",211 офис; 2 этаж,620039,Уралмаш м-н,Орджоникидзевский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00,+05:00,,,89536041385,,,,,,,,,https://vk.com/mgfasad,https://wa.me/79536041385,,,,,,https://t.me/+79536041385,,,,56.881701,60.564341,https://2gis.com/firm/70000001025373213,branch
Ника,мебельная фабрика,Мебель на заказ; Мебельные фабрики; Мягкая мебель,"Бисертская улица, 132а лит И",,620024,Елизавет м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.1,9,89086384766,89086340022,,mfnika96@gmail.com,,,,,,https://vk.com/public212269758,https://wa.me/79086384766,https://wa.me/79086340022,,,,,https://t.me/+79086340022,,,,56.758096,60.630955,https://2gis.com/firm/70000001007313661,branch
НК,мастерская декора и предметов интерьера,Мебель на заказ; Художественные мастерские; Сувениры; Корпусная мебель; Декоративные отделочные материалы,"Черкасская улица, 10ж",,620043,Юго-Западный м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00 (по предварительному звонку),+05:00,5.0,9,89923376074,,,,,,,,,https://vk.com/newkeya,https://wa.me/79923376074,,,,,,https://t.me/+79923376074,,,,56.822964,60.554622,https://2gis.com/firm/70000001079761874,branch
Миладочь,столярная мастерская,Мебель на заказ; Корпусная мебель,"Серова улица, 33",,624191,,,Невьянск,Невьянский муниципальный округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,,,89527345722,89022543054,,,,,,,,https://vk.com/miladoch,https://wa.me/79022543054,,,,,,,,,,57.49798,60.187702,https://2gis.com/firm/70000001089317306,branch
Новый век,,Мебель на заказ; Корпусная мебель,"микрорайон Зелёный Бор-1, 5а",4 офис; 1 этаж,623382,Зелёный Бор-1 м-н,,Полевской,Полевской муниципальный округ,Свердловская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-15:00,+05:00,,,89045433532,,,,,,,,,,,,,,,,,,,,56.505886,60.266147,https://2gis.com/firm/70000001115032336,branch
Нота-Мебель,магазин мебели,Мебель на заказ; Корпусная мебель; Мягкая мебель; Мебель для кухни,"улица Свердлова, 1",цокольный этаж,623388,,,Полевской,Полевской муниципальный округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,,,89530090001,89530090002,,,,,,,,,,,,,,,,,,,56.491894,60.241199,https://2gis.com/firm/70000001105847481,branch
ОкДиван,фабрика мягкой мебели,Мебель на заказ; Мягкая мебель; Стеновые панели; Мебель для кухни; Корпусная мебель; Мебель для общественного питания,"Садовая улица, 1Б ст2",,620902,Горный Щит с.,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,,,89030830300,,,,,,,,,https://vk.com/mebelnazakaz_okdivan,,,,,,,,,,,56.691643,60.504962,https://2gis.com/firm/70000001105301443,branch
Оливия Кухни,мебельная компания по производству кухонной и корпусной мебели,Мебель на заказ; Мебель для кухни; Корпусная мебель,"улица Толедова, 43Б",,620990,Заречный м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,3,89221229154 (доп.1),89221016395,89043815311,,,,,,,https://vk.com/olivia_kuhni,,,,,,,,,,,56.854083,60.546713,https://2gis.com/firm/70000001113683947,branch
Отец и сын,кузница,"Мебель на заказ; Сварочные работы; Кованые изделия; Интерьерные лестницы; Мангалы, коптильни, тандыры","улица Самстроя, 17Б",1 этаж,624022,,,Сысерть,Сысертский муниципальный округ,Свердловская область,Россия,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00 (по предварительному звонку),+05:00,5.0,2,89827282118,,,,,,,,,https://vk.com/public83925502,https://wa.me/79827282118,https://wa.me/79222274061,,,,,,,,,56.50868,60.83394,https://2gis.com/firm/70000001051644627,branch
Офис,Компания по изготовлению мебели на заказ,Мебель на заказ; Мебель для кухни; Корпусная мебель,"улица Татищева, 92",8 офис; 2 этаж,620131,ВИЗ м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00,+05:00,5.0,1,89122292146,,,,,,,,,https://vk.com/mebeldlyadoma_ekb,https://wa.me/79122292146,,,,,,https://t.me/+79122292146,https://t.me/79122292146,,,56.837796,60.545162,https://2gis.com/firm/70000001104775079,branch
Молвинец,компания по производству мебели,Мебель на заказ; Офисная мебель; Мягкая мебель; Мебель для кухни,"улица Ленина, 5Б",,624070,,,Среднеуральск,Среднеуральск муниципальный округ,Свердловская область,Россия,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,3.0,6,89221456244 (директор),,,,,,,,,https://vk.com/mebelmolvinec,,,,,,,,,,,56.993365,60.464215,https://2gis.com/firm/70000001088807318,branch
Монолит,,Мебель на заказ; Мебель для кухни; Корпусная мебель,"1-я Баритовая, 113г",,,Свободный 2 м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+05:00,5.0,1,89321248526,,,,,,,,,,,,,,,,https://t.me/+79321248526,,,,56.68822,60.574856,https://2gis.com/firm/70000001111511119,branch
Моя мебель,мебельный салон,Мебель на заказ; Мебельные магазины; Корпусная мебель; Мебель для кухни; Офисная мебель; Мебельные фасады; Детская мебель,"40-летия Комсомола, 38л",А корпус; 1 этаж; правое крыло,620072,ЖБИ м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,59,83432907877,89028711889,,,,http://t.me/mymebelekb,,,,https://vk.com/my_mebel66,,,,,,,,,,,56.823929,60.703056,https://2gis.com/firm/70000001034138826,branch
Муза идей,студия мебели,Мебель на заказ; Корпусная мебель; Мебель для кухни,"Профсоюзная улица, 43",-1 этаж,620010,Химмаш м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,3.9,9,89530464868,89827411702,,,,,,,,https://vk.com/flamiaekb,,,,,,,,,,,56.75425,60.691681,https://2gis.com/firm/70000001057401785,branch
МШКС Сталь,,Мебель на заказ; Офисная мебель; Дизайн интерьеров; Интерьерные лестницы; Кованые изделия; Металлическая мебель; Металлоизделия; Заборы и ограждения,"улица Щербакова, 150",335 офис,620076,Уктус м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (по предварительной записи),+05:00,5.0,5,89677771411,89058940246,,,,,,,,,https://wa.me/79677771411,,,,,,,,,,56.766505,60.672669,https://2gis.com/firm/70000001091448961,branch
Плотниковъ,,Мебель на заказ; Мебель для кухни; Корпусная мебель,"улица Победы, 19",,624272,,,Асбест,Асбестовский муниципальный округ,Свердловская область,Россия,Пн: 10:00-18:30; Вт: 10:00-18:30; Ср: 10:00-18:30; Чт: 10:00-18:30; Пт: 10:00-18:30; Сб: 10:00-16:00,+05:00,,,89090077656,,,,,,,,,,,,,,,,,,,,57.013907,61.457086,https://2gis.com/firm/70000001051654861,branch
Престиж,студия мебели,Мебель на заказ; Ремонт мебели; Мягкая мебель,"улица 8 Марта, 45а",620 офис; 6 этаж,620063,Центр м-н,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00; Сб: 09:00-15:00 (по предварительному звонку),+05:00,,,89530488786,,,,,,,,,https://vk.com/id317142323,https://wa.me/79530488786,,,,,,https://t.me/sergey1616,,,,56.82426,60.606221,https://2gis.com/firm/70000001062764399,branch
Проект-М,компания по производству шкафов купе и корпусной мебели под заказ,Мебель на заказ; Корпусная мебель; Мебель для кухни; Детская мебель; Офисная мебель,"улица Металлургов, 84",2 этаж; левое крыло,620131,ВИЗ м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,1.3,3,89521340088,,,,,,,,,https://vk.com/pmekbrus,https://wa.me/79521340088,,,,,,,,,,56.827929,60.50832,https://2gis.com/firm/70000001006360331,branch
Производственная компания,,Мебель на заказ; Офисная мебель; Распиловка древесины; Корпусная мебель; Мебель для кухни; Детская мебель; Медицинская и лабораторная мебель; Мебель для учебных учреждений; Мебель для общественного питания,"проспект Космонавтов, 107а/3",2 этаж,620058,Уралмаш м-н,Орджоникидзевский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 08:30-17:00; Вт: 08:30-17:00; Ср: 08:30-17:00; Чт: 08:30-17:00; Пт: 08:30-17:00,+05:00,5.0,1,89533874074,83433002422,,,,,,,,,,,,,,,https://t.me/+79533874074,,,,56.928853,60.609959,https://2gis.com/firm/70000001035329056,branch
Просто лофт,мастерская,Мебель на заказ; Металлическая мебель; Офисная мебель,"улица Гагарина, 8",018 офис; цокольный этаж,620062,Втузгородок м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-19:30; Вт: 10:00-19:30; Ср: 10:00-19:30; Чт: 10:00-19:30; Пт: 10:00-19:30; Сб: 11:00-19:30,+05:00,,,89655200520,,,,,,,,,,https://wa.me/79655200520,,,,,,,,,,56.846329,60.643558,https://2gis.com/firm/70000001039300690,branch
Профиль-мебель,,Мебель на заказ; Мебельные фабрики; Мягкая мебель; Корпусная мебель,"Новостроя, 19а",,620024,Уктус м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,,,89221926020,83435215042,,,,,,,,https://vk.com/profile_mebel,,,,viber://chat/?number=79221926020,,,https://t.me/+79221926020,,,,56.77157,60.62444,https://2gis.com/firm/70000001113400131,branch
Рябинушка,компания по производству мебели,Мебель на заказ; Корпусная мебель; Офисная мебель,"Сиреневый бульвар, 15Б",,620072,ЖБИ м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (по предварительной записи),+05:00,,,89089043239,89326124788,89956630615,,,http://t.me/ryabinushka_ekb,,,,,https://wa.me/79956630615,,,,,,https://t.me/+79089043239,,,,56.83002,60.687498,https://2gis.com/firm/70000001102338495,branch
Саванна,мебельный салон,Мебель на заказ; Мягкая мебель,"улица Бахчиванджи, 2 лит С7",1 этаж,620025,Кольцово м-н,Октябрьский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,,,89931033370,,,,,,,,,,,,,,,,,,,,56.761057,60.806094,https://2gis.com/firm/70000001093018866,branch
Саванна,мебельный салон,Мебель на заказ; Мебельные магазины; Мягкая мебель,"40-летия Комсомола, 38н",Б корпус; 2 этаж,620072,ЖБИ м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,2.3,6,89506343370 (единый номер),,,,,,,,,,,,,,,,,,,,56.82408,60.705925,https://2gis.com/firm/70000001055045774,branch
Салон МС,торговая компания,Мебель на заказ; Жалюзи; Окна; Автоматические ворота и шлагбаумы; Мебель для кухни; Комплектующие для окон; Корпусная мебель; Остекление и отделка балконов; Офисная мебель; Рольставни; Ремонт окон; Детская мебель; Мебель для ванных комнат,"улица Энгельса, 30",,623281,,,Ревда,Ревда муниципальный округ,Свердловская область,Россия,Пн: 10:00-16:00; Вт: 10:00-16:00; Ср: 10:00-16:00; Чт: 10:00-16:00; Пт: 10:00-16:00,+05:00,5.0,1,89126566976,,,,,,,,,,https://wa.me/79126566976,,,,,,https://t.me/+79126566976,,,,56.807214,59.923037,https://2gis.com/firm/70000001007528964,branch
Салон мягкой и корпусной мебели,,Мебель на заказ; Корпусная мебель; Мягкая мебель; Детская мебель; Мебель для кухни; Матрасы,"Пролетарская улица, 82/1",19 павильон,624003,,,Арамиль,Арамильский городской округ,Свердловская область,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00; Сб: 09:00-17:00; Вс: 09:00-17:00,+05:00,5.0,1,89122552229,,,,,,,,,,https://wa.me/79122552229,,,,,,https://t.me/+79122552229,,,,56.71326,60.829936,https://2gis.com/firm/1267166676175502,branch
Санвут,фабрика мебели,Мебель на заказ; Мебель для кухни; Корпусная мебель,"улица Владимира Высоцкого, 50",2 этаж,620072,ЖБИ м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,19,89122700761,89122400189,,opt@sanvut.ru,,http://sanvut.ru/?utm_source=2gis&utm_medium=reklama&utm_campaign=2gis,,,,https://vk.com/sanvutekb,https://wa.me/79122400189,https://wa.me/79122101023,,,,,https://t.me/+79122700761,https://t.me/+79122101023,,,56.843353,60.697972,https://2gis.com/firm/70000001084114366,branch
Санвут,фабрика мебели,Мебель на заказ; Мебельные фабрики; Мебель для кухни; Корпусная мебель; Мебельные магазины; Мебельные фасады,"улица Щорса, 54а",1 этаж,620142,Автовокзал м-н,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.8,24,89122101023,89122400189,,opt@sanvut.ru,,http://sanvut.ru/?utm_source=2gis&utm_medium=reklama&utm_campaign=2gis,,,,https://vk.com/sanvutekb,https://wa.me/79122400189,https://wa.me/79122101023,,,,,https://t.me/+79122400189,https://t.me/+79122101023,,,56.810675,60.620297,https://2gis.com/firm/70000001083631633,branch
Ртк-Мебель,мебельная компания,Мебель на заказ; Мягкая мебель; Мебель для кухни; Детская мебель; Офисная мебель,"улица Огнеупорщиков, 14",,624097,,,Верхняя Пышма,Верхняя Пышма городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,3.2,10,89826980890,89126054607,,,,,,,,,,,,,,,,,,,56.980445,60.544224,https://2gis.com/firm/70000001080386921,branch
Ральви,магазин мебели,Мебель на заказ; Металлическая мебель; Мебель для кухни,"Электродепо, 3а",,620050,Старая Сортировка м-н,Железнодорожный район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00,+05:00,1.0,1,,,,,,,,,,https://vk.com/ralvi,,,,,,,https://t.me/+79505536011,,,https://youtube.com/@ralvi_ekb/shorts,56.861267,60.528619,https://2gis.com/firm/70000001081321238,branch
